Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
40,60,40,250,35,160,5,0,50.52,72,78,14
40,60,40,250,35,160,5,0,46.67,72,74,12
40,60,40,250,35,160,5,0,49.13,70,74,14
40,60,40,250,35,160,5,0,49.35,68,70,14
40,60,40,250,35,160,5,0,43.57,70,76,13
40,60,40,250,35,160,15,1,44.45,70,71,13
40,60,40,250,35,160,15,1,47.46,70,76,13
40,60,40,250,35,160,15,1,45.18,72,69,14
40,60,40,250,35,160,15,1,48.9,70,71,14
40,60,40,250,35,160,15,1,48.05,72,77,14
40,60,40,250,35,160,15,1,42.62,72,72,14
40,60,40,250,35,160,15,1,50.38,70,75,13
40,60,40,250,35,160,15,1,47.82,72,75,13
40,60,40,250,35,160,15,1,49.33,68,69,13
40,60,40,250,35,160,15,1,48.49,72,74,13
40,60,40,250,35,160,15,0,42.05,68,71,13
40,60,40,250,35,160,15,0,49.18,70,75,14
40,60,40,250,35,160,15,0,45.66,70,70,14
40,60,40,250,35,160,15,0,49.92,70,71,14
40,60,40,250,35,160,15,0,50.7,70,75,14
40,60,40,250,35,160,15,0,48.27,70,75,14
40,60,40,250,35,160,15,0,48.41,70,74,13
40,60,40,250,35,160,15,0,51.5,72,76,13
40,60,40,250,35,160,15,0,50.07,70,71,13
40,60,40,250,35,160,15,0,49.1,72,75,13
40,60,40,250,35,160,25,1,46.52,70,73,13
40,60,40,250,35,160,25,1,51.19,70,72,13
40,60,40,250,35,160,25,1,51.63,70,68,12
40,60,40,250,35,160,25,1,48.83,70,70,13
40,60,40,250,35,160,25,1,49.54,72,78,14
40,60,40,250,35,160,25,1,41.29,70,69,13
40,60,40,250,35,160,25,1,49.84,68,72,14
40,60,40,250,35,160,25,1,45,68,72,13
40,60,40,250,35,160,25,1,47.96,72,73,14
40,60,40,250,35,160,25,1,45.6,70,74,13
40,60,40,250,35,160,25,0,46.62,70,72,13
40,60,40,250,35,160,25,0,51.85,70,73,13
40,60,40,250,35,160,25,0,52.74,71,72,12
40,60,40,250,35,160,25,0,47.65,74,76,13
40,60,40,250,35,160,25,0,46.92,73,77,14
40,60,40,250,35,160,25,0,43.79,74,74,13
40,60,40,250,35,160,25,0,46.56,70,73,14
40,60,40,250,35,160,25,0,41.37,72,77,13
40,60,40,250,35,160,25,0,49.63,70,76,14
40,60,40,250,35,160,25,0,42.67,72,76,13
40,75,40,250,35,160,5,1,46.03,74,77,13
40,75,40,250,35,160,5,1,48.23,78,101,11
40,75,40,250,35,160,5,1,38.67,78,82,13
40,75,40,250,35,160,5,1,44.43,78,101,13
40,75,40,250,35,160,5,1,46.72,76,87,12
40,75,40,250,35,160,5,1,46.98,80,100,11
40,75,40,250,35,160,5,1,48.39,76,95,10
