No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version ,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) ,Ball-g
252,5,40,60,40,250,35,160,5,N,49.18,68,71,13,1
253,5,40,60,40,250,35,160,5,N,52.57,72,71,12,1
254,5,40,60,40,250,35,160,5,N,49.64,72,72,13,1
255,5,40,60,40,250,35,160,5,N,45.93,74,75,13,1
256,5,40,60,40,250,35,160,5,N,50.52,72,78,14,1
257,5,40,60,40,250,35,160,5,N,46.67,72,74,12,1
258,5,40,60,40,250,35,160,5,N,49.13,70,74,14,1
259,5,40,60,40,250,35,160,5,N,49.35,68,70,14,1
260,5,40,60,40,250,35,160,5,N,43.57,70,76,13,1
271,5,40,60,40,250,35,160,15,N,42.05,68,71,13,1
272,5,40,60,40,250,35,160,15,N,49.18,70,75,14,1
273,5,40,60,40,250,35,160,15,N,45.66,70,70,14,1
274,5,40,60,40,250,35,160,15,N,49.92,70,71,14,1
275,5,40,60,40,250,35,160,15,N,50.7,70,75,14,1
276,5,40,60,40,250,35,160,15,N,48.27,70,75,14,1
277,5,40,60,40,250,35,160,15,N,48.41,70,74,13,1
278,5,40,60,40,250,35,160,15,N,51.5,72,76,13,1
279,5,40,60,40,250,35,160,15,N,50.07,70,71,13,1
280,5,40,60,40,250,35,160,15,N,49.1,72,75,13,1
291,5,40,60,40,250,35,160,25,N,46.62,70,72,13,1
292,5,40,60,40,250,35,160,25,N,51.85,70,73,13,1
293,5,40,60,40,250,35,160,25,N,52.74,71,72,12,1
294,5,40,60,40,250,35,160,25,N,47.65,74,76,13,1
295,5,40,60,40,250,35,160,25,N,46.92,73,77,14,1
296,5,40,60,40,250,35,160,25,N,43.79,74,74,13,1
297,5,40,60,40,250,35,160,25,N,46.56,70,73,14,1
298,5,40,60,40,250,35,160,25,N,41.37,72,77,13,1
299,5,40,60,40,250,35,160,25,N,49.63,70,76,14,1
300,5,40,60,40,250,35,160,25,N,42.67,72,76,13,1
431,8,40,60,40,250,35,160,5,N,46.84,74,77,13,1
432,8,40,60,40,250,35,160,5,N,51.11,74,78,10,1
433,8,40,60,40,250,35,160,5,N,51.47,74,77,10,1
434,8,40,60,40,250,35,160,5,N,52.21,74,75,13,1
435,8,40,60,40,250,35,160,5,N,54.62,75,80,13,1
436,8,40,60,40,250,35,160,5,N,48.52,73,80,14,1
437,8,40,60,40,250,35,160,5,N,52.47,76,80,7,1
438,8,40,60,40,250,35,160,5,N,49.05,72,76,11,1
439,8,40,60,40,250,35,160,5,N,52.04,76,78,12,1
440,8,40,60,40,250,35,160,5,N,49.54,74,76,16,1
451,8,40,60,40,250,35,160,15,N,48.89,74,78,10,1
452,8,40,60,40,250,35,160,15,N,47.97,72,74,10,1
453,8,40,60,40,250,35,160,15,N,51.5,74,77,10,1
454,8,40,60,40,250,35,160,15,N,50.99,74,76,11,1
455,8,40,60,40,250,35,160,15,N,49.75,74,79,11,1
456,8,40,60,40,250,35,160,15,N,51.95,75,80,12,1
457,8,40,60,40,250,35,160,15,N,49.95,74,74,14,1
458,8,40,60,40,250,35,160,15,N,48.91,73,75,13,1
459,8,40,60,40,250,35,160,15,N,54.43,75,77,11,1
460,8,40,60,40,250,35,160,15,N,51.56,73,74,14,1
471,8,40,60,40,250,35,160,25,N,47.84,82,79,13,1
472,8,40,60,40,250,35,160,25,N,52.43,72,74,10,1
473,8,40,60,40,250,35,160,25,N,53.06,75,81,10,1
474,8,40,60,40,250,35,160,25,N,50.08,74,75,12,1
